('dienggo01', 'wrighde01', ' makes 3-pt jump shot from 26 ft ', '202110230CLE', '11:00.0')
('reddica01', 'hillso01', ' makes 3-pt jump shot from 31 ft ', '202110230CLE', '10:23.0')
('markkla01', 'sextoco01', ' makes 2-pt layup from 1 ft ', '202110230CLE', '9:58.0')
('hillso01', 'wrighde01', ' makes 3-pt jump shot from 24 ft ', '202110230CLE', '8:43.0')
('dienggo01', 'youngtr01', ' makes 2-pt layup from 2 ft ', '202110230CLE', '7:22.0')
('bogdabo01', 'youngtr01', ' makes 3-pt jump shot from 26 ft ', '202110230CLE', '5:24.0')
('allenja01', 'okorois01', ' makes 2-pt hook shot from 11 ft ', '202110230CLE', '4:38.0')
('loveke01', 'rubiori01', ' makes 2-pt hook shot from 11 ft ', '202110230CLE', '4:12.0')
('huntede01', 'youngtr01', ' makes 2-pt jump shot from 13 ft ', '202110230CLE', '3:55.0')
('allenja01', 'loveke01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '2:10.0')
('huntede01', 'youngtr01', ' makes 2-pt jump shot from 18 ft ', '202110230CLE', '1:53.0')
('capelca01', 'youngtr01', ' makes 2-pt dunk at rim ', '202110230CLE', '1:32.0')
('sextoco01', 'rubiori01', ' makes 2-pt jump shot from 18 ft ', '202110230CLE', '1:19.0')
('okorois01', 'sextoco01', ' makes 2-pt layup at rim ', '202110230CLE', '0:53.0')
('rubiori01', 'sextoco01', ' makes 3-pt jump shot from 28 ft ', '202110230CLE', '0:28.0')
('rubiori01', 'loveke01', ' makes 3-pt jump shot from 27 ft ', '202110230CLE', '0:00.0')
('markkla01', 'sextoco01', ' makes 3-pt jump shot from 25 ft ', '202110230CLE', '10:06.0')
('allenja01', 'rubiori01', ' makes 2-pt layup from 1 ft ', '202110230CLE', '9:02.0')
('mobleev01', 'rubiori01', ' makes 2-pt layup from 2 ft ', '202110230CLE', '8:50.0')
('huntede01', 'bogdabo01', ' makes 3-pt jump shot from 27 ft ', '202110230CLE', '8:18.0')
('reddica01', 'huntede01', ' makes 2-pt layup from 1 ft ', '202110230CLE', '7:14.0')
('osmande01', 'rubiori01', ' makes 3-pt jump shot from 26 ft ', '202110230CLE', '5:19.0')
('mobleev01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202110230CLE', '4:43.0')
('loveke01', 'osmande01', ' makes 2-pt jump shot from 7 ft ', '202110230CLE', '3:46.0')
('hillso01', 'dienggo01', ' makes 3-pt jump shot from 24 ft ', '202110230CLE', '3:24.0')
('reddica01', 'wrighde01', ' makes 2-pt jump shot from 8 ft ', '202110230CLE', '0:37.0')
('reddica01', 'wrighde01', ' makes 3-pt jump shot from 24 ft ', '202110230CLE', '11:39.0')
('reddica01', 'collijo01', ' makes 2-pt jump shot from 18 ft ', '202110230CLE', '10:22.0')
('okorois01', 'markkla01', ' makes 3-pt jump shot from 25 ft ', '202110230CLE', '6:55.0')
('collijo01', 'youngtr01', ' makes 2-pt layup at rim ', '202110230CLE', '3:25.0')
('portemi01', 'morrimo01', ' makes 3-pt jump shot from 25 ft ', '202110250DEN', '10:31.0')
('allenja01', 'markkla01', ' makes 2-pt hook shot from 3 ft ', '202110250DEN', '10:11.0')
('bartowi01', 'morrimo01', ' makes 2-pt jump shot from 17 ft ', '202110250DEN', '9:05.0')
('markkla01', 'garlada01', ' makes 3-pt jump shot from 27 ft ', '202110250DEN', '8:18.0')
('rubiori01', 'markkla01', ' makes 2-pt layup from 7 ft ', '202110250DEN', '6:51.0')
('okorois01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202110250DEN', '5:09.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk from 3 ft ', '202110250DEN', '2:58.0')
('loveke01', 'garlada01', ' makes 2-pt jump shot from 23 ft ', '202110250DEN', '1:51.0')
('greenje02', 'campafa01', ' makes 2-pt dunk from 2 ft ', '202110250DEN', '1:31.0')
('campafa01', 'doziepj01', ' makes 3-pt jump shot from 23 ft ', '202110250DEN', '1:08.0')
('greenja01', 'campafa01', ' makes 2-pt dunk from 2 ft ', '202110250DEN', '10:42.0')
('okorois01', 'garlada01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '8:06.0')
('hylanbo01', 'riverau01', ' makes 3-pt jump shot from 26 ft ', '202110250DEN', '7:56.0')
('allenja01', 'garlada01', ' makes 2-pt layup from 4 ft ', '202110250DEN', '4:41.0')
('portemi01', 'jokicni01', ' makes 2-pt layup from 1 ft ', '202110250DEN', '3:33.0')
('loveke01', 'rubiori01', ' makes 2-pt dunk from 2 ft ', '202110250DEN', '3:07.0')
('jokicni01', 'portemi01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '2:45.0')
('allenja01', 'okorois01', ' makes 2-pt dunk at rim ', '202110250DEN', '2:24.0')
('loveke01', 'garlada01', ' makes 3-pt jump shot from 23 ft ', '202110250DEN', '1:14.0')
('jokicni01', 'morrimo01', ' makes 3-pt jump shot from 27 ft ', '202110250DEN', '0:31.0')
('garlada01', 'mobleev01', ' makes 2-pt layup from 4 ft ', '202110250DEN', '11:02.0')
('mobleev01', 'allenja01', ' makes 2-pt layup from 4 ft ', '202110250DEN', '10:25.0')
('allenja01', 'sextoco01', ' makes 2-pt hook shot from 8 ft ', '202110250DEN', '9:42.0')
('markkla01', 'allenja01', ' makes 3-pt jump shot from 23 ft ', '202110250DEN', '9:09.0')
('bartowi01', 'morrimo01', ' makes 3-pt jump shot from 25 ft ', '202110250DEN', '8:50.0')
('morrimo01', 'jokicni01', ' makes 2-pt layup from 4 ft ', '202110250DEN', '7:38.0')
('portemi01', 'bartowi01', ' makes 3-pt jump shot from 27 ft ', '202110250DEN', '7:06.0')
('gordoaa01', 'morrimo01', ' makes 3-pt jump shot from 26 ft ', '202110250DEN', '5:40.0')
('bartowi01', 'gordoaa01', ' makes 2-pt layup from 4 ft ', '202110250DEN', '5:03.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202110250DEN', '4:32.0')
('gordoaa01', 'jokicni01', ' makes 2-pt dunk from 3 ft ', '202110250DEN', '4:16.0')
('bartowi01', 'portemi01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '3:45.0')
('loveke01', 'osmande01', ' makes 2-pt hook shot from 9 ft ', '202110250DEN', '2:08.0')
('jokicni01', 'campafa01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '1:19.0')
('loveke01', 'rubiori01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '0:40.0')
('markkla01', 'mobleev01', ' makes 2-pt dunk from 1 ft ', '202110250DEN', '11:14.0')
('mobleev01', 'sextoco01', ' makes 2-pt layup from 3 ft ', '202110250DEN', '10:38.0')
('sextoco01', 'okorois01', ' makes 3-pt jump shot from 25 ft ', '202110250DEN', '10:09.0')
('sextoco01', 'garlada01', ' makes 3-pt jump shot from 23 ft ', '202110250DEN', '9:25.0')
('mobleev01', 'garlada01', ' makes 2-pt layup from 3 ft ', '202110250DEN', '8:52.0')
('jokicni01', 'portemi01', ' makes 2-pt layup from 2 ft ', '202110250DEN', '7:33.0')
('allenja01', 'rubiori01', ' makes 2-pt layup from 3 ft ', '202110250DEN', '5:28.0')
('portemi01', 'morrimo01', ' makes 3-pt jump shot from 26 ft ', '202110250DEN', '4:15.0')
('allenja01', 'rubiori01', ' makes 2-pt hook shot from 3 ft ', '202110250DEN', '2:46.0')
('nnajize01', 'hylanbo01', ' makes 3-pt jump shot from 25 ft ', '202110250DEN', '2:19.0')
('allenja01', 'rubiori01', ' makes 2-pt dunk from 2 ft ', '202110250DEN', '1:54.0')
('bolbo01', 'hylanbo01', ' makes 2-pt dunk from 2 ft ', '202110250DEN', '0:28.0')
('zubaciv01', 'georgpa01', ' makes 2-pt hook shot from 6 ft ', '202110270LAC', '10:40.0')
('sextoco01', 'garlada01', ' makes 2-pt layup from 1 ft ', '202110270LAC', '7:50.0')
('allenja01', 'garlada01', ' makes 2-pt dunk from 2 ft ', '202110270LAC', '7:24.0')
('kennalu01', 'mannte01', ' makes 3-pt jump shot from 27 ft ', '202110270LAC', '4:36.0')
('mannte01', 'jacksre01', ' makes 2-pt jump shot from 14 ft ', '202110270LAC', '2:42.0')
('mobleev01', 'loveke01', ' makes 2-pt dunk from 2 ft ', '202110270LAC', '0:32.0')
('sextoco01', 'garlada01', ' makes 2-pt layup from 2 ft ', '202110270LAC', '0:00.0')
('bledser01', 'mannte01', ' makes 2-pt jump shot from 6 ft ', '202110270LAC', '11:27.0')
('zubaciv01', 'kennalu01', ' makes 2-pt dunk from 1 ft ', '202110270LAC', '8:56.0')
('sextoco01', 'markkla01', ' makes 2-pt dunk from 2 ft ', '202110270LAC', '8:28.0')
('markkla01', 'garlada01', ' makes 2-pt dunk from 2 ft ', '202110270LAC', '7:26.0')
('batumni01', 'jacksre01', ' makes 3-pt jump shot from 24 ft ', '202110270LAC', '5:37.0')
('loveke01', 'rubiori01', ' makes 2-pt dunk from 2 ft ', '202110270LAC', '2:45.0')
('georgpa01', 'harteis01', ' makes 2-pt jump shot from 17 ft ', '202110270LAC', '1:12.0')
