('harrito02', 'embiijo01', ' makes 2-pt layup from 1 ft ', '202110220PHI', '8:52.0')
('curryse01', 'embiijo01', ' makes 2-pt layup from 1 ft ', '202110220PHI', '8:36.0')
('harrito02', 'embiijo01', ' makes 3-pt jump shot from 25 ft ', '202110220PHI', '6:56.0')
('harrijo01', 'duranke01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '6:11.0')
('millspa01', 'duranke01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '4:39.0')
('aldrila01', 'duranke01', ' makes 2-pt jump shot from 9 ft ', '202110220PHI', '4:05.0')
('curryse01', 'maxeyty01', ' makes 3-pt jump shot from 27 ft ', '202110220PHI', '3:16.0')
('harrito02', 'drumman01', ' makes 2-pt jump shot from 15 ft ', '202110220PHI', '1:43.0')
('aldrila01', 'duranke01', ' makes 2-pt jump shot from 18 ft ', '202110220PHI', '1:30.0')
('aldrila01', 'duranke01', ' makes 2-pt jump shot from 19 ft ', '202110220PHI', '0:57.0')
('harrito02', 'drumman01', ' makes 2-pt layup from 2 ft ', '202110220PHI', '0:49.0')
('aldrila01', 'hardeja01', ' makes 2-pt jump shot from 21 ft ', '202110220PHI', '0:33.0')
('hardeja01', 'millspa02', ' makes 2-pt jump shot from 8 ft ', '202110220PHI', '11:46.0')
('drumman01', 'korkmfu01', ' makes 2-pt hook shot from 3 ft ', '202110220PHI', '11:00.0')
('curryse01', 'korkmfu01', ' makes 2-pt layup from 4 ft ', '202110220PHI', '7:31.0')
('millspa02', 'duranke01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '3:30.0')
('griffbl01', 'duranke01', ' makes 2-pt layup from 3 ft ', '202110220PHI', '1:41.0')
('harrito02', 'maxeyty01', ' makes 3-pt jump shot from 25 ft ', '202110220PHI', '1:22.0')
('maxeyty01', 'thybuma01', ' makes 2-pt layup from 1 ft ', '202110220PHI', '0:10.0')
('duranke01', 'claxtni01', ' makes 2-pt jump shot from 17 ft ', '202110220PHI', '11:01.0')
('hardeja01', 'duranke01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '9:21.0')
('embiijo01', 'harrito02', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '7:56.0')
('harrijo01', 'hardeja01', ' makes 2-pt layup at rim ', '202110220PHI', '7:36.0')
('harrijo01', 'hardeja01', ' makes 3-pt jump shot from 24 ft ', '202110220PHI', '6:12.0')
('aldrila01', 'harrijo01', ' makes 2-pt jump shot from 15 ft ', '202110220PHI', '5:02.0')
('thybuma01', 'harrito02', ' makes 2-pt layup from 1 ft ', '202110220PHI', '4:05.0')
('millspa02', 'duranke01', ' makes 3-pt jump shot from 24 ft ', '202110220PHI', '3:41.0')
('curryse01', 'harrito02', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '3:19.0')
('millspa01', 'duranke01', ' makes 2-pt dunk from 1 ft ', '202110220PHI', '2:51.0')
('niangge01', 'thybuma01', ' makes 3-pt jump shot from 26 ft ', '202110220PHI', '0:51.0')
('aldrila01', 'carteje01', ' makes 2-pt dunk from 1 ft ', '202110220PHI', '10:17.0')
('aldrila01', 'hardeja01', ' makes 2-pt jump shot from 17 ft ', '202110220PHI', '9:03.0')
('harrijo01', 'carteje01', ' makes 3-pt jump shot from 23 ft ', '202110220PHI', '7:50.0')
('harrijo01', 'hardeja01', ' makes 2-pt jump shot from 7 ft ', '202110220PHI', '7:17.0')
('harrito02', 'thybuma01', ' makes 2-pt jump shot from 13 ft ', '202110220PHI', '6:30.0')
('thybuma01', 'harrito02', ' makes 2-pt dunk from 2 ft ', '202110220PHI', '5:33.0')
('aldrila01', 'duranke01', ' makes 2-pt jump shot from 6 ft ', '202110220PHI', '5:16.0')
('duranke01', 'millspa02', ' makes 2-pt jump shot from 16 ft ', '202110220PHI', '4:41.0')
('millspa02', 'duranke01', ' makes 2-pt layup from 3 ft ', '202110220PHI', '2:01.0')
('aldrila01', 'hardeja01', ' makes 2-pt dunk from 1 ft ', '202110220PHI', '0:48.0')
('curryse01', 'embiijo01', ' makes 3-pt jump shot from 23 ft ', '202110240OKC', '10:10.0')
('favorde01', 'dortlu01', ' makes 2-pt jump shot from 13 ft ', '202110240OKC', '9:23.0')
